epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5098186135292053,9.999999747378752e-05,0.43815523386001587,0.3911908268928528,0.5058794021606445
1,0.7163410782814026,9.999999747378752e-05,0.3363143503665924,0.37344110012054443,0.5551370978355408
2,0.7593331933021545,9.999999747378752e-05,0.2949434816837311,0.33998751640319824,0.657162606716156
3,0.7663808465003967,9.999999747378752e-05,0.28244906663894653,0.2992154061794281,0.6399481296539307
4,0.7706606388092041,9.999999747378752e-05,0.2679055333137512,0.34507042169570923,0.6227147579193115
5,0.7761560082435608,9.999999747378752e-05,0.25946366786956787,0.3391868472099304,0.5910623073577881
6,0.7780798077583313,4.999999873689376e-05,0.26008710265159607,0.44033750891685486,0.49908456206321716
7,0.7844787240028381,4.999999873689376e-05,0.25194787979125977,0.4049687385559082,0.505624532699585
8,0.7822098731994629,4.999999873689376e-05,0.24897275865077972,0.5908105373382568,0.3784279227256775
9,0.7868955135345459,4.999999873689376e-05,0.2478393018245697,0.624491274356842,0.3554086685180664
10,0.790674090385437,4.999999873689376e-05,0.24293774366378784,0.6945036053657532,0.30119016766548157
11,0.790448784828186,4.999999873689376e-05,0.24496562778949738,0.7671902179718018,0.2576809525489807
12,0.7902032136917114,4.999999873689376e-05,0.24155981838703156,0.7750076055526733,0.2452254295349121
13,0.7918694615364075,4.999999873689376e-05,0.24110102653503418,0.792439877986908,0.23547165095806122
14,0.7936497330665588,4.999999873689376e-05,0.2367960810661316,0.7965792417526245,0.22835487127304077
15,0.7959153056144714,4.999999873689376e-05,0.23392382264137268,0.7992551922798157,0.2271481305360794
16,0.8033137917518616,4.999999873689376e-05,0.22901615500450134,0.8002727031707764,0.22670802474021912
17,0.7947495579719543,4.999999873689376e-05,0.23785792291164398,0.8013686537742615,0.22465476393699646
18,0.8035258054733276,4.999999873689376e-05,0.22544921934604645,0.8038322329521179,0.22447636723518372
19,0.7995575666427612,4.999999873689376e-05,0.2326100915670395,0.8009114861488342,0.22405894100666046
20,0.8035708665847778,4.999999873689376e-05,0.2296725958585739,0.8038622736930847,0.22110721468925476
21,0.7992314696311951,4.999999873689376e-05,0.2319047749042511,0.7967579364776611,0.23643530905246735
22,0.7975844740867615,4.999999873689376e-05,0.23398731648921967,0.8042223453521729,0.22093063592910767
23,0.7996004223823547,4.999999873689376e-05,0.23022159934043884,0.8073602914810181,0.22302715480327606
24,0.8072046041488647,4.999999873689376e-05,0.22230902314186096,0.8053694367408752,0.22115911543369293
25,0.8006948232650757,4.999999873689376e-05,0.2294168621301651,0.8043661117553711,0.22380416095256805
26,0.8053203225135803,4.999999873689376e-05,0.2229110300540924,0.8028554916381836,0.22757753729820251
27,0.8041059970855713,4.999999873689376e-05,0.2239043414592743,0.8081559538841248,0.21766360104084015
28,0.8037115931510925,4.999999873689376e-05,0.22257652878761292,0.8087965250015259,0.21839362382888794
29,0.8060141205787659,4.999999873689376e-05,0.22048278152942657,0.7994123697280884,0.22056448459625244
